protocolo,bairro,categoria,canal,data_abertura,data_fechamento,status,nota_satisfacao
2026301,Nossa Senhora de Lourdes,Buraco na via,Telefone 156,2026-06-11,2026-06-21,Concluído,2
2026302,Tancredo Neves,Buraco na via,Portal,2026-05-15,,Em aberto,
2026303,Passo d'Areia,BURACO NA VIA,Telefone 156,2026-01-21,2026-02-03,Concluído,4
2026304,Juscelino Kubitschek,BURACO NA VIA ,Presencial,2026-04-05,2026-04-14,Concluído,2
2026305,Patronato,BURACO NA VIA,Telefone 156,2026-01-17,2026-02-09,Concluído,2
2026306,Patronato,Água e esgoto,Presencial,2026-02-13,2026-03-01,Concluído,5
2026307,Juscelino Kubitschek,Animais na via,Presencial,2026-05-01,2026-05-03,Concluído,5
2026308,Patronato,Água e esgoto,WhatsApp,2026-06-14,2026-06-14,Concluído,5
2026309,Nossa Senhora de Lourdes,Iluminação pública,Telefone 156,2026-01-17,2026-01-21,Concluído,5
2026310,Patronato,ANIMAIS NA VIA,Presencial,2026-07-25,2026-08-03,Concluído,4
2026311,Centro,Iluminação pública,Portal,2026-08-01,2026-08-06,Concluído,1
2026312,Centro,Buraco na via,Presencial,2026-07-22,,Em aberto,
2026313,Passo d'Areia,Buraco na via,Portal,2026-02-04,,Em aberto,
2026314,Camobi,Buraco na via,WhatsApp,2026-06-03,2026-06-08,Concluído,2
2026315,Juscelino Kubitschek,Buraco na via ,Telefone 156,2026-05-19,,Em aberto,
2026316,Centro,Buraco na via ,Presencial,2026-06-07,,Em aberto,
2026317,Camobi,Buraco na via,Portal,2026-04-21,2026-05-08,Concluído,3
2026318,Patronato,PODA DE ARVORE,WhatsApp,2026-04-19,2026-05-26,Concluído,-1
2026319,Nossa Senhora de Lourdes,Iluminação pública,Presencial,2026-07-17,2026-07-27,Concluído,5
2026320,Patronato,PODA DE ARVORE,Telefone 156,2026-01-25,2026-02-15,Concluído,2
2026321,Centro,Animais na via,WhatsApp,2026-04-17,2026-04-24,Concluído,2
2026322,Tancredo Neves,Animais na via,WhatsApp,2026-05-12,2026-05-20,Concluído,2
2026323,Patronato,Água e esgoto,Telefone 156,2026-01-16,2026-01-31,Concluído,4
2026324,Patronato,AGUA E ESGOTO,WhatsApp,2026-08-17,,Em aberto,
2026325,Patronato,Poda de árvore,WhatsApp,2026-05-08,2026-06-02,Concluído,5
2026326,Centro,Animais na via,Portal,2026-03-21,2026-03-23,Concluído,5
2026327,Camobi,Buraco na via,WhatsApp,2026-02-12,2026-03-07,Concluído,4
2026328,Nossa Senhora de Lourdes,Animais na via,Portal,2026-06-07,,Em aberto,
2026329,Juscelino Kubitschek,Iluminação pública,Portal,2026-07-26,2026-07-29,Concluído,3
2026330,Patronato,Animais na via,Presencial,2026-02-09,2026-02-09,Concluído,4
2026331,Centro,Água e esgoto,Telefone 156,2026-07-08,,Em aberto,
2026332,Camobi,Coleta de lixo,Presencial,2026-03-28,2026-04-02,Concluído,3
2026333,Nossa Senhora de Lourdes,BURACO NA VIA,Telefone 156,2026-04-24,2026-05-09,Concluído,2
2026334,Centro,Buraco na via,Portal,2026-01-28,2026-02-07,Concluído,4
2026335,Patronato,Iluminação pública,Presencial,2026-07-23,2026-08-04,Concluído,2
2026336,Centro,ILUMINACAO PUBLICA,WhatsApp,2026-07-23,2026-08-02,Concluído,5
2026337,Centro,Poda,WhatsApp,2026-05-21,2026-06-23,Concluído,5
2026338,Juscelino Kubitschek,Iluminação pública,WhatsApp,2026-02-11,2026-02-22,Concluído,4
2026339,Patronato,Animais na via,Telefone 156,2026-07-04,2026-07-11,Concluído,2
2026340,Tancredo Neves,AGUA E ESGOTO,WhatsApp,2026-08-21,,Em aberto,
2026341,Tancredo Neves,Coleta de lixo,Telefone 156,2026-02-28,2026-03-03,Concluído,4
2026342,Juscelino Kubitschek,Iluminação pública,Presencial,2026-05-01,,Em aberto,
2026343,Tancredo Neves,COLETA DE LIXO,Presencial,2026-04-13,2026-04-20,Concluído,1
2026344,Nossa Senhora de Lourdes,Água e esgoto,Telefone 156,2026-01-21,2026-02-03,Concluído,3
2026345,Nossa Senhora de Lourdes,Iluminação pública,WhatsApp,2026-07-15,2026-07-22,Concluído,5
2026346,Centro,Coleta de lixo,Telefone 156,2026-08-08,2026-08-10,Concluído,3
2026347,Patronato,Água e esgoto,Telefone 156,2026-05-05,2026-05-07,Concluído,3
2026348,Nossa Senhora de Lourdes,Iluminação pública,Telefone 156,2026-08-07,2026-08-08,Concluído,2
2026349,Juscelino Kubitschek,Iluminação pública,Telefone 156,2026-04-24,2026-04-30,Concluído,2
2026350,Patronato,Buraco na via,Presencial,2026-05-04,2026-05-12,Concluído,4
2026351,Centro,Poda,WhatsApp,2026-01-05,,Em aberto,
2026352,Patronato,PODA DE ARVORE,WhatsApp,2026-02-11,,Em aberto,
2026353,Juscelino Kubitschek,BURACO NA VIA,Portal,2026-06-29,2026-06-30,Concluído,2
2026354,Patronato,Iluminação pública,Presencial,2026-08-10,2026-08-15,Concluído,2
2026355,Centro,ILUMINACAO PUBLICA,Portal,2026-08-05,2026-07-19,Concluído,2
2026356,Centro,Buraco na via,WhatsApp,2026-01-26,2026-02-24,Concluído,4
2026357,Nossa Senhora de Lourdes,Buraco na via,Presencial,2026-03-29,2026-04-07,Concluído,4
2026358,Tancredo Neves,ILUMINACAO PUBLICA,WhatsApp,2026-04-03,2026-03-08,Concluído,3
2026359,Tancredo Neves,Iluminação pública,Portal,2026-07-14,2026-07-18,Concluído,4
2026360,Camobi,Coleta de lixo,Presencial,2026-08-16,2026-08-22,Concluído,2
2026361,Juscelino Kubitschek,Iluminação pública,Portal,2026-03-10,2026-03-14,Concluído,2
2026362,Patronato,Iluminação pública,Presencial,2026-05-03,2026-05-10,Concluído,3
2026363,Centro,ILUMINACAO PUBLICA,WhatsApp,2026-05-11,2026-05-20,Concluído,3
2026364,Nossa Senhora de Lourdes,Poda,WhatsApp,2026-05-02,2026-06-01,Concluído,3
2026365,Nossa Senhora de Lourdes,Poda de árvore,Presencial,2026-05-01,,Em aberto,
2026366,Camobi,Água e esgoto,Telefone 156,2026-05-06,2026-05-21,Concluído,2
2026367,Centro,Coleta de lixo,Telefone 156,2026-01-12,,Em aberto,
2026368,Passo d'Areia,BURACO NA VIA ,WhatsApp,2026-07-23,2026-07-28,Concluído,5
2026369,Tancredo Neves,Coleta de lixo,Portal,2026-03-16,2026-03-16,Concluído,2
2026370,Passo d'Areia,Coleta de lixo,WhatsApp,2026-08-08,2026-08-10,Concluído,2
2026371,Centro,Buraco na via,Portal,2026-04-18,2026-05-06,Concluído,2
2026372,Nossa Senhora de Lourdes,Iluminação pública,Portal,2026-04-28,2026-05-06,Concluído,4
2026373,Passo d'Areia,Buraco na via,Telefone 156,2026-05-06,2026-05-19,Concluído,4
2026374,Centro,Buraco na via,Presencial,2026-01-26,2026-02-21,Concluído,4
2026375,Centro,ILUMINACAO PUBLICA,Presencial,2026-08-02,2026-08-02,Concluído,4
2026376,Tancredo Neves,Buraco na via,Portal,2026-02-28,2026-03-29,Concluído,1
2026377,Centro,Buraco na via,Portal,2026-02-08,2026-02-15,Concluído,4
2026378,Nossa Senhora de Lourdes,Iluminação pública,Presencial,2026-06-19,2026-06-20,Concluído,5
2026379,Camobi,AGUA E ESGOTO,Telefone 156,2026-03-25,2026-03-31,Concluído,3
2026380,Centro,Poda,Portal,2026-08-17,,Em aberto,
2026381,Centro,Coleta de lixo,Presencial,2026-04-02,2026-04-05,Concluído,2
2026382,Tancredo Neves,Buraco na via,Portal,2026-05-08,2026-05-27,Concluído,4
2026383,Patronato,AGUA E ESGOTO,Presencial,2026-07-15,2026-07-15,Concluído,1
2026384,Patronato,ANIMAIS NA VIA,Portal,2026-01-24,2026-02-05,Concluído,5
2026385,Tancredo Neves,Poda de árvore,Telefone 156,2026-05-18,,Em aberto,
2026386,Centro,Iluminação pública,Telefone 156,2026-01-07,2026-01-12,Concluído,3
2026387,Nossa Senhora de Lourdes,Iluminação pública,Portal,2026-02-10,,Em aberto,
2026388,Centro,Água e esgoto,Presencial,2026-01-08,2026-01-19,Concluído,4
2026389,Camobi,Animais na via,WhatsApp,2026-04-08,2026-04-10,Concluído,4
2026390,Centro,Poda de árvore,Portal,2026-06-30,2026-07-29,Concluído,3
2026391,Passo d'Areia,Coleta de lixo,WhatsApp,2026-08-06,2026-08-11,Concluído,4
2026392,Camobi,Iluminação pública,WhatsApp,2026-03-25,,Em aberto,
2026393,Juscelino Kubitschek,Iluminação pública,WhatsApp,2026-06-16,2026-06-18,Concluído,3
2026394,Patronato,AGUA E ESGOTO,Telefone 156,2026-06-05,2026-06-17,Concluído,1
2026395,Patronato,Poda de árvore ,Portal,2026-02-28,,Em aberto,
2026396,Centro,PODA DE ARVORE,Portal,2026-05-18,,Em aberto,
2026397,Patronato,Iluminação pública,WhatsApp,2026-08-13,2026-08-20,Concluído,5
2026398,Camobi,Poda,Telefone 156,2026-04-10,2026-05-04,Concluído,3
2026399,Camobi,Água e esgoto,WhatsApp,2026-08-13,2026-08-23,Concluído,5
2026400,Camobi,Buraco na via,Portal,2026-06-18,2026-06-27,Concluído,4
2026401,Passo d'Areia,Coleta de lixo,WhatsApp,2026-01-15,2026-01-20,Concluído,5
2026402,Camobi,Buraco na via,Telefone 156,2026-06-26,2026-07-07,Concluído,1
2026403,Tancredo Neves,PODA DE ARVORE,WhatsApp,2026-04-13,2026-05-08,Concluído,5
2026404,Juscelino Kubitschek,Iluminação pública,Telefone 156,2026-06-02,2026-06-02,Concluído,5
2026405,Nossa Senhora de Lourdes,Poda de árvore,Telefone 156,2026-02-06,,Em aberto,
2026406,Nossa Senhora de Lourdes,Poda,Telefone 156,2026-02-02,2025-12-26,Concluído,5
2026407,Tancredo Neves,Iluminação pública,Presencial,2026-06-20,2026-06-28,Concluído,4
2026408,Centro,Poda de árvore,WhatsApp,2026-01-14,2026-02-16,Concluído,1
2026409,Camobi,Buraco na via,Telefone 156,2026-01-23,2026-01-23,Concluído,3
2026410,Centro,Água e esgoto,Presencial,2026-08-17,2026-08-09,Concluído,1
2026411,Centro,AGUA E ESGOTO,WhatsApp,2026-03-05,2026-03-17,Concluído,5
2026412,Nossa Senhora de Lourdes,Coleta de lixo,Portal,2026-04-15,2026-04-19,Concluído,5
2026413,Camobi,BURACO NA VIA,Portal,2026-04-12,2026-04-28,Concluído,2
2026414,Tancredo Neves,Poda de árvore,Portal,2026-06-21,2026-06-21,Concluído,4
2026415,Juscelino Kubitschek,Coleta de lixo,Presencial,2026-05-06,2026-05-06,Concluído,4
2026416,Tancredo Neves,BURACO NA VIA,Telefone 156,2026-05-01,2026-05-01,Concluído,1
2026417,Patronato,BURACO NA VIA,WhatsApp,2026-05-07,2026-05-12,Concluído,5
2026418,Juscelino Kubitschek,PODA DE ARVORE,Portal,2026-02-04,,Em aberto,
2026419,Nossa Senhora de Lourdes,Iluminação pública,Presencial,2026-06-15,2026-06-22,Concluído,5
2026420,Centro,COLETA DE LIXO,Presencial,2026-01-30,2026-02-06,Concluído,10
2026421,Centro,PODA DE ARVORE,Presencial,2026-08-06,2026-08-08,Concluído,1
2026422,Passo d'Areia,Iluminação pública,Presencial,2026-02-06,2026-02-14,Concluído,1
2026423,Centro,Água e esgoto,Portal,2026-07-24,2026-07-03,Concluído,5
2026424,Centro,Poda de árvore,Telefone 156,2026-06-13,2026-07-01,Concluído,3
2026425,Camobi,Coleta de lixo,Telefone 156,2026-04-21,2026-04-23,Concluído,1
2026426,Patronato,Água e esgoto,WhatsApp,2026-05-07,2026-05-26,Concluído,1
2026427,Tancredo Neves,Poda de árvore,Telefone 156,2026-07-14,2026-08-20,Concluído,4
2026428,Juscelino Kubitschek,Coleta de lixo,Telefone 156,2026-02-26,2026-03-03,Concluído,1
2026429,Camobi,Buraco na via,Telefone 156,2026-06-30,2026-07-03,Concluído,5
2026430,Patronato,Animais na via,Telefone 156,2026-08-16,2026-08-22,Concluído,2
2026431,Centro,Buraco na via,Portal,2026-08-11,,Em aberto,
2026432,Centro,Iluminação pública,WhatsApp,2026-02-21,2026-03-04,Concluído,1
2026433,Centro,ILUMINACAO PUBLICA,WhatsApp,2026-03-26,2026-03-26,Concluído,4
2026434,Juscelino Kubitschek,Poda de árvore,Telefone 156,2026-05-21,2026-06-21,Concluído,2
2026435,Centro,Água e esgoto,Portal,2026-02-05,2026-02-12,Concluído,2
2026436,Nossa Senhora de Lourdes,ANIMAIS NA VIA,Portal,2026-01-24,2026-01-28,Concluído,5
2026437,Camobi,Buraco na via,Telefone 156,2026-05-08,,Em aberto,
2026438,Tancredo Neves,Iluminação pública,Telefone 156,2026-06-04,2026-06-04,Concluído,4
2026439,Centro,Iluminação pública,Telefone 156,2026-06-06,2026-06-09,Concluído,4
2026440,Tancredo Neves,Coleta de lixo ,Telefone 156,2026-07-29,2026-08-01,Concluído,5
2026441,Tancredo Neves,ILUMINACAO PUBLICA,Portal,2026-02-14,2026-02-15,Concluído,2
2026442,Passo d'Areia,COLETA DE LIXO,Portal,2026-03-18,2026-03-20,Concluído,2
2026443,Tancredo Neves,BURACO NA VIA,Portal,2026-02-28,2026-02-28,Concluído,3
2026444,Juscelino Kubitschek,Buraco na via,Telefone 156,2026-05-23,,Em aberto,
2026445,Juscelino Kubitschek,Água e esgoto ,Presencial,2026-02-17,2026-02-23,Concluído,3
2026446,Nossa Senhora de Lourdes,ILUMINACAO PUBLICA,Telefone 156,2026-05-11,,Em aberto,
2026447,Tancredo Neves,AGUA E ESGOTO,Portal,2026-03-07,2026-03-13,Concluído,4
2026448,Centro,Coleta de lixo,WhatsApp,2026-08-20,2026-08-22,Concluído,3
2026449,Tancredo Neves,ILUMINACAO PUBLICA,Telefone 156,2026-06-28,2026-06-30,Concluído,3
2026450,Camobi,Coleta de lixo,Telefone 156,2026-05-08,,Em aberto,
2026451,Nossa Senhora de Lourdes,BURACO NA VIA,Telefone 156,2026-05-25,2026-06-24,Concluído,4
2026452,Nossa Senhora de Lourdes,Iluminação pública,WhatsApp,2026-06-30,2026-07-02,Concluído,1
2026453,Camobi,Buraco na via,Telefone 156,2026-07-29,,Em aberto,
2026454,Camobi,ILUMINACAO PUBLICA,Portal,2026-07-14,2026-07-19,Concluído,1
2026455,Passo d'Areia,ANIMAIS NA VIA ,Telefone 156,2026-02-18,2026-02-24,Concluído,2
2026456,Patronato,Buraco na via,WhatsApp,2026-07-27,2026-06-21,Concluído,5
2026457,Passo d'Areia,ILUMINACAO PUBLICA,Portal,2026-04-30,,Em aberto,
2026458,Centro,Animais na via,Telefone 156,2026-07-13,2026-07-17,Concluído,2
2026459,Patronato,Iluminação pública,Portal,2026-08-17,2026-08-18,Concluído,5
2026460,Camobi,Poda de árvore,WhatsApp,2026-02-27,,Em aberto,
2026461,Camobi,Água e esgoto,Presencial,2026-08-16,2026-08-26,Concluído,4
2026462,Patronato,Buraco na via,Portal,2026-07-22,,Em aberto,
2026463,Tancredo Neves,ANIMAIS NA VIA,Portal,2026-03-15,2026-03-20,Concluído,3
2026464,Patronato,Água e esgoto,WhatsApp,2026-07-07,2026-07-07,Concluído,2
2026465,Juscelino Kubitschek,Iluminação pública,Telefone 156,2026-08-08,,Em aberto,
2026466,Camobi,COLETA DE LIXO,WhatsApp,2026-05-06,2026-05-11,Concluído,4
2026467,Nossa Senhora de Lourdes,Iluminação pública,Telefone 156,2026-06-16,,Em aberto,
2026468,Tancredo Neves,Água e esgoto,Portal,2026-05-27,2026-06-02,Concluído,3
2026469,Patronato,Coleta de lixo,WhatsApp,2026-02-16,2026-02-16,Concluído,5
2026470,Camobi,Buraco na via,Telefone 156,2026-01-09,2026-01-09,Concluído,3
2026471,Passo d'Areia,Animais na via ,Telefone 156,2026-01-17,2026-01-22,Concluído,1
2026472,Nossa Senhora de Lourdes,ILUMINACAO PUBLICA,Presencial,2026-04-07,2026-04-16,Concluído,1
2026473,Juscelino Kubitschek,Buraco na via,Telefone 156,2026-07-14,2026-07-20,Concluído,2
2026474,Camobi,Água e esgoto,WhatsApp,2026-08-18,2026-08-23,Concluído,5
2026475,Centro,Coleta de lixo,WhatsApp,2026-05-06,,Em aberto,
2026476,Centro,ILUMINACAO PUBLICA ,WhatsApp,2026-03-16,2026-03-22,Concluído,2
2026477,Passo d'Areia,Poda de árvore,WhatsApp,2026-01-06,2026-02-01,Concluído,5
2026478,Tancredo Neves,Buraco na via,Telefone 156,2026-04-18,2026-05-12,Concluído,2
2026479,Tancredo Neves,Coleta de lixo,Presencial,2026-06-05,2026-06-09,Concluído,2
2026480,Camobi,AGUA E ESGOTO,Presencial,2026-06-25,2026-06-03,Concluído,3
2026481,Tancredo Neves,Iluminação pública,WhatsApp,2026-03-10,2026-03-20,Concluído,6
2026482,Juscelino Kubitschek,Iluminação pública,Telefone 156,2026-06-15,2026-06-17,Concluído,5
2026483,Passo d'Areia,Buraco na via,Portal,2026-05-13,,Em aberto,
2026484,Centro,Poda de árvore,WhatsApp,2026-05-01,2026-05-13,Concluído,5
2026485,Centro,Buraco na via,Telefone 156,2026-01-12,2026-01-17,Concluído,4
2026486,Juscelino Kubitschek,Buraco na via ,Portal,2026-02-02,,Em aberto,
2026487,Patronato,Água e esgoto,Portal,2026-02-21,2026-02-28,Concluído,4
2026488,Nossa Senhora de Lourdes,Poda,Telefone 156,2026-04-14,2026-05-11,Concluído,1
2026489,Patronato,Coleta de lixo,Telefone 156,2026-07-14,2026-07-16,Concluído,2
2026490,Passo d'Areia,Iluminação pública ,WhatsApp,2026-05-21,2026-05-26,Concluído,1
2026491,Nossa Senhora de Lourdes,Buraco na via,WhatsApp,2026-02-15,2026-02-20,Concluído,4
2026492,Juscelino Kubitschek,ILUMINACAO PUBLICA,Portal,2026-02-18,2026-02-25,Concluído,5
2026493,Juscelino Kubitschek,Animais na via,Presencial,2026-04-24,2026-04-24,Concluído,4
2026494,Centro,Animais na via,Portal,2026-02-27,2026-03-10,Concluído,5
2026495,Centro,Iluminação pública,Presencial,2026-06-06,,Em aberto,
2026496,Nossa Senhora de Lourdes,Coleta de lixo,Portal,2026-04-26,2026-04-26,Concluído,4
2026497,Camobi,Buraco na via,WhatsApp,2026-03-25,2026-04-06,Concluído,2
2026498,Juscelino Kubitschek,Iluminação pública,Presencial,2026-06-01,,Em aberto,
2026499,Nossa Senhora de Lourdes,Poda ,Telefone 156,2026-07-24,2026-08-04,Concluído,2
2026500,Tancredo Neves,Iluminação pública,Presencial,2026-08-06,2026-08-13,Concluído,3
